id,title
0001418189999fea7f7cbe3e82703d71c85a6fe5,Absence of surface expression of feline infectious peritonitis virus (FIPV) antigens on infected cells isolated from cats with FIP
00016663c74157a66b4d509d5c4edffd5391bbe0,X
0005d253951fedc237715a37db147032eea28912,X
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,Correlation between antimicrobial consumption and incidence of health-care- associated infections due to methicillin- resistant Staphylococcus aureus and vancomycin-resistant enterococci at a university hospital in Taiwan from 2000 to 2010
000e754142ba65ef77c6fdffcbcbe824e141ea7b,Laboratory-based surveillance of hospital-acquired respiratory virus infection in a tertiary care hospital
000eec3f1e93c3792454ac59415c928ce3a6b4ad,Pneumonie virale sévère de l'immunocompétent Viral pneumonia in immunocompetent patients
001259ae6d9bfa9376894f61aa6b6c5f18be2177,Microheterogeneity of S-glycoprotein of mouse hepatitis virus temperature-sensitive mutants
00142f93c18b07350be89e96372d240372437ed9,immunity to pathogens taught by specialized human dendritic cell subsets
0016983545c217458b711d5aaad5fba583d81171,Enhancement of feline infectious peritonitis virus Type I infection in cell cultures using low-speed centrifugation
001916486b2012ccc611fe18d4763f9e81517cbb,Domestic Cats as Laboratory Animals
001ec025dd65db8a47827c8f49d9c41d60f35d00,Changes in salivary analytes in canine parvovirus: A high-resolution quantitative proteomic study
002160a433024de8c5e80b210f0b54e5d029fa57,Increased infection severity in downstream cities in infectious disease transmission and tourists surveillance analysis
0022796bb2112abd2e6423ba2d57751db06049fb,Public Health Responses to and Challenges for the Control of Dengue Transmission in High-Income Countries: Four Case Studies
002e47e3d05b7bb891b9027b335de165d59d1b8b,TR-PIV measurement of exhaled flow using a breathing thermal manikin
002f09dfc9a1323a15bf72e349d8b733ac97a2aa,X
003002eb2de94815cdcd83c07d73e504a529ec13,Lung Pathology of Severe Acute Respiratory Syndrome (SARS): A Study of 8 Autopsy Cases From Singapore
003229cade748c34593401d3f2b61eadeca86de4,"Nucleolar-cytoplasmic shuttling of PRRSV nucleocapsid protein: a simple case of molecular mimicry or the complex regulation by nuclear import, nucleolar localization and nuclear export signal sequences"
00325033266973fb091b9beb535090bf94810283,Early non-invasive ventilation treatment for severe influenza pneumonia
00326efcca0852dc6e39dc6b7786267e1bc4f194,"a section of the journal Frontiers in Pediatrics A Review of Pediatric Critical Care in Resource-Limited Settings: A Look at Past, Present, and Future Directions"
0036e8891c93ae63611bde179ada1e03e8577dea,Stable Occupancy of the Crimean-Congo Hemorrhagic Fever Virus-Encoded Deubiquitinase Blocks Viral Infection
003de7af488353a29ead2056c3a48382f6a30584,X
003f719a05b7a35ea4b778ded17cae230f5a0343,"La, PTB, and PAB proteins bind to the 3 0 untranslated region of Norwalk virus genomic RNA"
0048638dac84956b48b1d2a77a322e7f35c4fde3,From Individuals to Groups and Back: The Evolutionary Implications of Group Phenotypic Composition Phenotypic variaƟon: EvoluƟonary response: SelecƟve consequences: Group composiƟon currencies
0049ba8861864506e1e8559e7815f4de8b03dbed,GPI-anchored single chain Fv -an effective way to capture transiently-exposed neutralization epitopes on HIV-1 envelope spike
004ca2c06eed8f7fedcb5a4086dbc2db0256f05b,"Indole alkaloid marine natural products: An established source of cancer drug leads with considerable promise for the control of parasitic, neurological and other diseases"
00542c115a9aebacf8024b2e21c5f124b7bbf620,X
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,Development of a smartphone-based rapid dual fluorescent diagnostic system for the simultaneous detection of influenza A and H5 subtype in avian influenza A-infected patients
00623268d0ce12f11d6b3acb0cc012821f592b93,Expression and purification of coronavirus envelope proteins using a modified b-barrel construct
00623bf2715e25d3acacb3f210d6888ed840e3cb,Transmissible gastroenteritis virus infection decreases arginine uptake by downregulating CAT-1 expression
00676f1131e03ca8defe523e79bc1635cc933909,Dromedary camels in northern Mali have high seropositivity to MERS-CoV-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)
006df1a5284369a9e2ff2dc7ab267a9f70294d8d,Loop-mediated isothermal amplification assay for the diagnosis of retinitis caused by herpes simplex virus-1
0072159e1ebecc889e9bcabb58bb45c47e18a403,Chaperone-Mediated Autophagy Protein BAG3 Negatively Regulates Ebola and Marburg VP40-Mediated Egress
0079559ab8717d83bc3df6be8533ff9672bb4367,Enterovirus-D68 (EV-D68) in pediatric patients with respiratory infection: The circulation of a new B3 clade in Italy
00799d9acb7f964564fd4c31d0e6268185e68e3c,The GPRLQPY motif located at the carboxy-terminal of the spike protein induces antibodies that neutralize Porcine epidemic diarrhea virus
007bf75961da42a7e0cc8e2855e5c208a5ec65c1,The Murine Coronavirus Hemagglutinin-esterase Receptor-binding Site: A Major Shift in Ligand Specificity through Modest Changes in Architecture
007d75e45cc9d79a93133918808dc9e86476b8ca,Adaptive dispersal effect on the spread of a disease in a patchy environment
007e325b2514afd152c8e396b96df06d05147dfd,Predictive value of the user seal check in determining half-face respirator fit
007ed8e51dede6acd78e9a2a6c5eb64184d8e838,Recognition of Functional Sites in Protein Structures
0080d3bd9fb92e022c27715c2d1249042aa998b8,Rational Design of a Live Attenuated Dengue Vaccine: 29-O-Methyltransferase Mutants Are Highly Attenuated and Immunogenic in Mice and Macaques
0087db1b3fdc81bb42d1fc625fc202c881dd9b9f,FIV infection of IL-2-dependent and -independent feline lymphocyte lines: Host cells range distinctions and specific cytokine upregulation
008cf2148ee4383534191b3736096878cad82c67,Molecular Basis of Coronavirus Virulence and Vaccine Development
008d047db717ab57103f347beaba0388d17446a5,"Porcine epidemic diarrhea virus N protein prolongs S-phase cell cycle, induces endoplasmic reticulum stress, and up-regulates interleukin-8 expression"
009002e8a66b8c1df088cf04069629fd76b13bb9,Epidemiological Characteristics of Imported Influenza A (H1N1) Cases during the 2009 Pandemic in Korea
0093f9ae0861afc0d29fff935ae6a3af898cea00,Emergence of infectious malignant thrombocytopenia in Japanese macaques (Macaca fuscata) by SRV-4 after transmission to a novel host
009892e02bc1a4c9abf6f547b979e68ecbde8087,Viral respiratory tract infections in young children with cystic fibrosis: a prospective full-year seasonal study
009e8db6e8ad5814895dfd7c3207e46d0bb5d326,Non-viral siRNA delivery to the lung ☆
00a0ab182dc01b6c2e737dfae585f050dcf9a7a5,Middle East respiratory syndrome: An emerging coronavirus infection tracked by the crowd
